strain	year	country	state	rflp	lineage
OR293868|USA/OK/48901-2/2013|2013|USA_OK|1-2-4|L8B	2013	USA	OK	1-2-4	L8B
OR293869|USA/OK/974-4/2014|2014|USA_OK|1-2-4|L8B	2014	USA	OK	1-2-4	L8B
OR293984|USA/UT/28759-GA/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293985|USA/UT/49975-GL/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293986|USA/UT/75686-2/2021|2021|USA_UT|1-3-1|L8C	2021	USA	UT	1-3-1	L8C
OR293987|USA/UT/32080-GB/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293988|USA/UT/57812-15/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293989|USA/UT/60655-15/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293990|USA/UT/51067-3/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293991|USA/UT/67623-23/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293992|USA/UT/47707-8/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293993|USA/UT/45327-GA/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293994|USA/UT/57846-5/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293995|USA/UT/54603-16/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293996|USA/UT/70741-GB/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293997|USA/UT/94857-2/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293998|USA/UT/49931-9/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293999|USA/UT/37835-4/2021|2021|USA_UT|1-3-1|L8C	2021	USA	UT	1-3-1	L8C
OR294000|USA/UT/8380-GB/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR294001|USA/UT/40865-6/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR294002|USA/UT/78464-GB/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR294003|USA/UT/54442-GC/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR294004|USA/UT/54606-21/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR294005|USA/UT/110440-3/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR294006|USA/UT/110026-3/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR294007|USA/IA/60390-3/2021|2021|USA_IA|1-4-1|L8C	2021	USA	IA	1-4-1	L8C
OR294008|USA/UT/40894-GB/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR294009|USA/UT/19425-4/2021|2021|USA_UT|1-3-1|L8C	2021	USA	UT	1-3-1	L8C
OR293870|USA/IA/45532-5/2012|2012|USA_IA|1-3-2|L8C	2012	USA	IA	1-3-2	L8C
OR293871|USA/OH/11550-GA/2013|2013|USA_OH|1-3-2|L8C	2013	USA	OH	1-3-2	L8C
MN498787|13894|2014|USA|1-3-2|L8C	2014	USA		1-3-2	L8C
OR293872|USA/IA/14251-145/2014|2014|USA_IA|1-4-2|L8C	2014	USA	IA	1-4-2	L8C
OR293873|USA/IA/65274-A/2015|2015|USA_IA|1-3-2|L8C	2015	USA	IA	1-3-2	L8C
OR293874|USA/IN/75536-A/2015|2015|USA_IN|1-3-2|L8C	2015	USA	IN	1-3-2	L8C
OR293875|USA/NC/17832-1/2016|2016|USA_NC|1-1-2|L8C	2016	USA	NC	1-1-2	L8C
OR293876|USA/IN/18304-1/2016|2016|USA_IN|1-3-2|L8C	2016	USA	IN	1-3-2	L8C
OR293877|USA/IA/19768-A/2016|2016|USA_IA|1-3-2|L8C	2016	USA	IA	1-3-2	L8C
OR293878|USA/OH/29481-3/2016|2016|USA_OH|1-3-2|L8C	2016	USA	OH	1-3-2	L8C
OR293879|USA/AZ/43710-6/2016|2016|USA_AZ|1-1-2|L8C	2016	USA	AZ	1-1-2	L8C
OR293880|USA/AZ/51308-GH/2016|2016|USA_AZ|1-4-2|L8C	2016	USA	AZ	1-4-2	L8C
OR293881|USA/IA/52346-3/2016|2016|USA_IA|1-1-2|L8C	2016	USA	IA	1-1-2	L8C
OR293882|USA/IL/59028-1/2016|2016|USA_IL|1-3-2|L8C	2016	USA	IL	1-3-2	L8C
OR293883|USA/IL/59103-1/2016|2016|USA_IL|1-3-2|L8C	2016	USA	IL	1-3-2	L8C
OR293884|USA/IA/6700-7/2017|2017|USA_IA|1-3-2|L8C	2017	USA	IA	1-3-2	L8C
OR293885|USA/IA/17121-GA/2017|2017|USA_IA|1-3-2|L8C	2017	USA	IA	1-3-2	L8C
OR293886|USA/IL/20993-GA/2017|2017|USA_IL|1-3-2|L8C	2017	USA	IL	1-3-2	L8C
OR293887|USA/IA/30112-2/2017|2017|USA_IA|1-1-2|L8C	2017	USA	IA	1-1-2	L8C
OR293888|USA/IL/47935-GE/2017|2017|USA_IL|1-3-1|L8C	2017	USA	IL	1-3-1	L8C
OR293889|USA/NC/54354-1/2017|2017|USA_NC|1-3-2|L8C	2017	USA	NC	1-3-2	L8C
OR293890|USA/IA/65470-38/2017|2017|USA_IA|1-3-2|L8C	2017	USA	IA	1-3-2	L8C
OR293891|USA/IA/15014-6/2018|2018|USA_IA|1-3-2|L8C	2018	USA	IA	1-3-2	L8C
OR293892|USA/UT/58230-GA/2018|2018|USA_UT|1-3-2|L8C	2018	USA	UT	1-3-2	L8C
OR293893|USA/NC/75320-2/2018|2018|USA_NC|1-3-2|L8C	2018	USA	NC	1-3-2	L8C
OR293894|USA/IA/76034-A/2018|2018|USA_IA|1-3-2|L8C	2018	USA	IA	1-3-2	L8C
OR293895|USA/UT/83875-GD/2018|2018|USA_UT|1-4-2|L8C	2018	USA	UT	1-4-2	L8C
OR293896|USA/IN/12793-1/2019|2019|USA_IN|1-4-2|L8C	2019	USA	IN	1-4-2	L8C
OR293897|USA/IL/24440-GC/2019|2019|USA_IL|1-3-2|L8C	2019	USA	IL	1-3-2	L8C
OR293898|USA/IA/47550-2/2019|2019|USA_IA|1-3-2|L8C	2019	USA	IA	1-3-2	L8C
OR293899|USA/UT/66020-GA/2019|2019|USA_UT|1-4-2|L8C	2019	USA	UT	1-4-2	L8C
OR293900|USA/UT/80689-GA/2019|2019|USA_UT|1-3-2|L8C	2019	USA	UT	1-3-2	L8C
OR293901|USA/OH/29790-GA/2020|2020|USA_OH|1-3-2|L8C	2020	USA	OH	1-3-2	L8C
OR293902|USA/OH/42812-2/2020|2020|USA_OH|1-3-2|L8C	2020	USA	OH	1-3-2	L8C
OR293903|USA/UT/51243-2/2020|2020|USA_UT|1-3-19|L8C	2020	USA	UT	1-3-19	L8C
OR293904|USA/IL/5555-6/2020|2020|USA_IL|1-3-2|L8C	2020	USA	IL	1-3-2	L8C
OR293905|USA/NC/85275-1/2020|2020|USA_NC|1-3-2|L8C	2020	USA	NC	1-3-2	L8C
OR293906|USA/IL/9902-9/2020|2020|USA_IL|1-3-2|L8C	2020	USA	IL	1-3-2	L8C
OR293907|USA/UT/51978-5/2021|2021|USA_UT|1-4-2|L8C	2021	USA	UT	1-4-2	L8C
OR293908|USA/UT/91989-2/2021|2021|USA_UT|1-3-2|L8C	2021	USA	UT	1-3-2	L8C
LC557039|Fostera|N/A|Japan|1-3-2|L8C	N/A	Japan		1-3-2	L8C
OR293909|Mexico/41238-5/2014|2014|Mexico|1-6-3|L8D	2014	Mexico		1-6-3	L8D
OR293910|Mexico/41238-6/2014|2014|Mexico|1-6-3|L8D	2014	Mexico		1-6-3	L8D
OR293911|Mexico/2985-3/2015|2015|Mexico|1-6-3|L8D	2015	Mexico		1-6-3	L8D
OR293912|Mexico/5255-14/2015|2015|Mexico|1-6-3|L8D	2015	Mexico		1-6-3	L8D
OR293913|Mexico/5255-27/2015|2015|Mexico|1-6-3|L8D	2015	Mexico		1-6-3	L8D
OR293914|Mexico/24568-2/2015|2015|Mexico|1-6-3|L8D	2015	Mexico		1-6-3	L8D
OR293915|Mexico/69400-9/2015|2015|Mexico|1-6-3|L8D	2015	Mexico		1-6-3	L8D
OR293916|Mexico/81937-1/2015|2015|Mexico|1-6-3|L8D	2015	Mexico		1-6-3	L8D
OR293917|Mexico/18036-3/2016|2016|Mexico|1-6-3|L8D	2016	Mexico		1-6-3	L8D
OR293918|Mexico/48066-14/2016|2016|Mexico|1-6-3|L8D	2016	Mexico		1-6-3	L8D
OR293919|Mexico/5340-3/2017|2017|Mexico|1-1-3|L8D	2017	Mexico		1-1-3	L8D
OR293920|Mexico/33775-1/2018|2018|Mexico|1-6-3|L8D	2018	Mexico		1-6-3	L8D
OR293921|Mexico/34485-3/2018|2018|Mexico|1-6-3|L8D	2018	Mexico		1-6-3	L8D
OR293922|Mexico/37853-1/2018|2018|Mexico|1-1-3|L8D	2018	Mexico		1-1-3	L8D
OR293923|Mexico/70060-2/2018|2018|Mexico|1-6-3|L8D	2018	Mexico		1-6-3	L8D
OR293924|Mexico/72949-1/2018|2018|Mexico|1-6-3|L8D	2018	Mexico		1-6-3	L8D
OR293925|Mexico/73204-1/2018|2018|Mexico|1-6-3|L8D	2018	Mexico		1-6-3	L8D
OR293926|Mexico/74972-1/2018|2018|Mexico|1-5-3|L8D	2018	Mexico		1-5-3	L8D
OR293927|Mexico/2913-1/2019|2019|Mexico|1-6-3|L8D	2019	Mexico		1-6-3	L8D
OR293928|Mexico/8969-1/2019|2019|Mexico|1-10-1|L8D	2019	Mexico		1-10-1	L8D
OR293929|Mexico/18558-2/2019|2019|Mexico|1-6-3|L8D	2019	Mexico		1-6-3	L8D
OR293930|Mexico/24763-1/2019|2019|Mexico|1-6-3|L8D	2019	Mexico		1-6-3	L8D
OR293931|Mexico/41775-1/2019|2019|Mexico|1-10-1|L8D	2019	Mexico		1-10-1	L8D
OR293932|Mexico/42112-1/2019|2019|Mexico|1-6-3|L8D	2019	Mexico		1-6-3	L8D
OR293933|Mexico/51707-1/2019|2019|Mexico|1-6-3|L8D	2019	Mexico		1-6-3	L8D
OR293934|Mexico/61741/2019|2019|Mexico|1-6-1|L8D	2019	Mexico		1-6-1	L8D
OR293935|Mexico/62012/2019|2019|Mexico|1-7-3|L8D	2019	Mexico		1-7-3	L8D
OR293936|Mexico/74504-1/2019|2019|Mexico|1-6-3|L8D	2019	Mexico		1-6-3	L8D
OR293937|Mexico/83553-1/2019|2019|Mexico|1-6-3|L8D	2019	Mexico		1-6-3	L8D
OR293938|Mexico/88901-1/2019|2019|Mexico|1-6-3|L8D	2019	Mexico		1-6-3	L8D
OR293939|Mexico/93771-1/2019|2019|Mexico|1-5-3|L8D	2019	Mexico		1-5-3	L8D
OR293940|Mexico/17100-1/2020|2020|Mexico|1-6-3|L8D	2020	Mexico		1-6-3	L8D
OR293941|Mexico/19113-1/2020|2020|Mexico|1-6-3|L8D	2020	Mexico		1-6-3	L8D
OR293942|Mexico/35409-2/2020|2020|Mexico|1-6-3|L8D	2020	Mexico		1-6-3	L8D
OR293943|Mexico/67153-1/2020|2020|Mexico|1-6-3|L8D	2020	Mexico		1-6-3	L8D
OR293944|Mexico/17623-1/2021|2021|Mexico|1-7-3|L8D	2021	Mexico		1-7-3	L8D
OR293945|Mexico/17624-1/2021|2021|Mexico|1-7-1|L8D	2021	Mexico		1-7-1	L8D
OR293946|Mexico/17625-1/2021|2021|Mexico|1-6-3|L8D	2021	Mexico		1-6-3	L8D
OR293947|Mexico/22400-1/2021|2021|Mexico|1-6-3|L8D	2021	Mexico		1-6-3	L8D
KC618170|GXLSN07-2012|2012|China|1-4-2|L8E	2012	China		1-4-2	L8E
KT961420|FJ1409|2014|China|1-3-3|L8E	2014	China		1-3-3	L8E
AY450301|HZ-X-2003|2003|null|1-4-4|L8E	2003	null		1-4-4	L8E
EU213136|JX-2|2006|China|1-4-3|L8E	2006	China		1-4-3	L8E
EU213140|SDWF2|2007|China|1-4-3|L8E	2007	China		1-4-3	L8E
HM213867|GDJD-2-08|2008|China|1-1-3|L8E	2008	China		1-1-3	L8E
JN543527|SH-08|2008|China|1-3-3|L8E	2008	China		1-3-3	L8E
JN543529|SX40-09|2008|China|1-4-2|L8E	2008	China		1-4-2	L8E
JN885599|GDGG|2008|China|1-4-1|L8E	2008	China		1-4-1	L8E
KF562280|JS0812|2008|China|1-3-3|L8E	2008	China		1-3-3	L8E
GU977227|ZP-1|2009|China|1-3-3|L8E	2009	China		1-3-3	L8E
HQ191493|gx09-137|2009|China|1-3-3|L8E	2009	China		1-3-3	L8E
HQ832145|HUBQJ9|2009|China|1-3-3|L8E	2009	China		1-3-3	L8E
HQ832176|AHAQ2|2009|China|1-3-3|L8E	2009	China		1-3-3	L8E
JF268678|09SD|2009|China|1-3-3|L8E	2009	China		1-3-3	L8E
JN994602|XJ0903|2009|China|1-3-3|L8E	2009	China		1-3-3	L8E
JQ860372|DN292|2009|Vietnam|1-4-3|L8E	2009	Vietnam		1-4-3	L8E
HQ832217|JXZX4|2010|China|1-4-3|L8E	2010	China		1-4-3	L8E
MN507833|HP-TH-CMI025-2010|2010|Thailand|1-3-3|L8E	2010	Thailand		1-3-3	L8E
KC618110|GXLSF12-2011|2011|China|1-4-3|L8E	2011	China		1-4-3	L8E
KF844259|HP-TH-CMI224-2011|2011|Thailand|1-3-3|L8E	2011	Thailand		1-3-3	L8E
KR612135|110104-GD-DC|2011|China|1-4-3|L8E	2011	China		1-4-3	L8E
KR612139|110602-GD-HSYKF|2011|China|1-4-3|L8E	2011	China		1-4-3	L8E
JQ798284|DQ1203033|2012|China|1-4-1|L8E	2012	China		1-4-1	L8E
JQ860382|CT-C1|2012|Vietnam|1-3-3|L8E	2012	Vietnam		1-3-3	L8E
KC617966|GXBS01-2012|2012|China|1-4-3|L8E	2012	China		1-4-3	L8E
KC618113|GXLSF09-2012|2012|China|1-3-3|L8E	2012	China		1-3-3	L8E
KF416318|HENAU-QBS-6|2013|China|1-3-3|L8E	2013	China		1-3-3	L8E
KF768120|13ZHHBaoyu|2013|China|1-4-3|L8E	2013	China		1-4-3	L8E
KM233867|SXLQ01|2013|China|1-4-3|L8E	2013	China		1-4-3	L8E
MG190829|GXHZ131029|2013|China|1-4-3|L8E	2013	China		1-4-3	L8E
KR261777|D54-DN11-VN-2014|2014|Vietnam|1-3-3|L8E	2014	Vietnam		1-3-3	L8E
MF095353|JS15-C5-5|2015|China|1-4-3|L8E	2015	China		1-4-3	L8E
MF095362|JS15-GM3B|2015|China|1-4-3|L8E	2015	China		1-4-3	L8E
MF133284|FJ224|2015|China|1-1-2|L8E	2015	China		1-1-2	L8E
MH220811|MLP-1|2016|India|1-3-3|L8E	2016	India		1-3-3	L8E
MK689087|XJ1704-6|2017|China|1-4-3|L8E	2017	China		1-4-3	L8E
MT811824|YNWH2016|2017|China|1-4-3|L8E	2017	China		1-4-3	L8E
MH579772|PRRSV-CH-HB-HD-2-2018|2018|China|1-2-3|L8E	2018	China		1-2-3	L8E
MN548293|HeNan-JZ2|2018|China|1-4-3|L8E	2018	China		1-4-3	L8E
DQ477520|PRRSV0003459|1999|USA|1-4-2|L9A	1999	USA		1-4-2	L9A
DQ477716|PRRSV0003677|1999|USA_NC|1-4-2|L9A	1999	USA	NC	1-4-2	L9A
DQ474812|PRRSV0000061|2000|USA|1-1-2|L9A	2000	USA		1-1-2	L9A
EU755437|PRRSV0000000513|2000|USA_MN|1-4-2|L9A	2000	USA	MN	1-4-2	L9A
EU756853|PRRSV0000006173|2000|USA_NC|1-4-2|L9A	2000	USA	NC	1-4-2	L9A
DQ475603|PRRSV0001061|2001|USA_MN|1-4-4|L9A	2001	USA	MN	1-4-4	L9A
DQ475950|PRRSV0001486|2002|USA_MN|1-4-1|L9A	2002	USA	MN	1-4-1	L9A
DQ475994|PRRSV0001547|2002|USA_MN|1-4-2|L9A	2002	USA	MN	1-4-2	L9A
EU757123|PRRSV0000006495|2002|USA_IA|1-4-2|L9A	2002	USA	IA	1-4-2	L9A
DQ474987|PRRSV0000284|2003|USA|1-4-2|L9A	2003	USA		1-4-2	L9A
DQ476134|PRRSV0001713|2003|USA_MN|1-4-2|L9A	2003	USA	MN	1-4-2	L9A
DQ476607|PRRSV0002325|2003|USA_MN|1-3-1|L9A	2003	USA	MN	1-3-1	L9A
EU755624|PRRSV0000001814|2003|USA_MN|1-4-1|L9A	2003	USA	MN	1-4-1	L9A
EU755637|PRRSV0000001889|2003|USA_MN|1-4-2|L9A	2003	USA	MN	1-4-2	L9A
OR293948|USA/IA/31442-A/2003|2003|USA_IA|1-3-1|L9A	2003	USA	IA	1-3-1	L9A
DQ474882|PRRSV0000146|2004|USA|1-1-2|L9A	2004	USA		1-1-2	L9A
OR293949|USA/IA/2953/2004|2004|USA_IA|1-4-1|L9A	2004	USA	IA	1-4-1	L9A
EU758202|PRRSV0000008047|2005|USA_IA|1-1-2|L9A	2005	USA	IA	1-1-2	L9A
EU756534|PRRSV0000005522|2006|USA_MN|1-7-4|L9A	2006	USA	MN	1-7-4	L9A
OR293950|USA/OK/863-1/2006|2006|USA_OK|1-3-2|L9A	2006	USA	OK	1-3-2	L9A
OR293951|USA/IA/36789-A/2006|2006|USA_IA|1-7-2|L9A	2006	USA	IA	1-7-2	L9A
OR293952|USA/OK/45807-1/2007|2007|USA_OK|1-4-2|L9A	2007	USA	OK	1-4-2	L9A
OR293953|USA/IA/37053-B/2008|2008|USA_IA|1-4-2|L9A	2008	USA	IA	1-4-2	L9A
OR293954|USA/IA/15645/2009|2009|USA_IA|1-4-2|L9A	2009	USA	IA	1-4-2	L9A
OR293955|USA/IA/18967-26/2009|2009|USA_IA|1-2-2|L9A	2009	USA	IA	1-2-2	L9A
OR293956|USA/IA/30320-24/2010|2010|USA_IA|1-4-2|L9A	2010	USA	IA	1-4-2	L9A
OR293957|USA/IA/10118-C/2012|2012|USA_IA|1-4-1|L9A	2012	USA	IA	1-4-1	L9A
OR293958|USA/IN/2301-2/2013|2013|USA_IN|1-4-2|L9A	2013	USA	IN	1-4-2	L9A
DQ475257|PRRSV0000638|2000|USA_MN|1-2-2|L9B	2000	USA	MN	1-2-2	L9B
DQ475349|PRRSV0000744|2001|USA_MN|1-3-2|L9B	2001	USA	MN	1-3-2	L9B
DQ475623|PRRSV0001083|2002|USA_NE|1-2-2|L9B	2002	USA	NE	1-2-2	L9B
DQ475870|PRRSV0001391|2002|USA_NE|1-2-2|L9B	2002	USA	NE	1-2-2	L9B
DQ475946|PRRSV0001482|2002|USA_MN|1-2-2|L9B	2002	USA	MN	1-2-2	L9B
DQ475999|PRRSV0001552|2002|USA_NE|1-2-2|L9B	2002	USA	NE	1-2-2	L9B
EU757055|PRRSV0000006414|2002|USA_MN|1-3-4|L9B	2002	USA	MN	1-3-4	L9B
DQ476192|PRRSV0001791|2003|USA_MN|1-3-1|L9B	2003	USA	MN	1-3-1	L9B
EU755635|PRRSV0000001887|2003|USA_MN|1-3-1|L9B	2003	USA	MN	1-3-1	L9B
DQ477079|PRRSV0002907|2004|USA_MN|1-3-1|L9B	2004	USA	MN	1-3-1	L9B
EU757762|PRRSV0000007284|2004|USA_MN|1-3-4|L9B	2004	USA	MN	1-3-4	L9B
EU757878|PRRSV0000007543|2004|USA_IA|1-3-4|L9B	2004	USA	IA	1-3-4	L9B
KU501418|PRRSV2-USA-LS68-2004|2004|USA|1-3-4|L9B	2004	USA		1-3-4	L9B
EU757908|PRRSV0000007585|2005|USA_MN|1-3-4|L9B	2005	USA	MN	1-3-4	L9B
OR293959|USA/MN/27985/2005|2005|USA_MN|1-3-4|L9B	2005	USA	MN	1-3-4	L9B
EU756662|PRRSV0000005650|2006|USA_MN|1-4-2|L9B	2006	USA	MN	1-4-2	L9B
KU501704|PRRSV2-USA-LS443-2007|2007|USA|1-3-4|L9B	2007	USA		1-3-4	L9B
KU501722|PRRSV2-USA-LS497-2007|2007|USA|1-3-4|L9B	2007	USA		1-3-4	L9B
KU501729|PRRSV2-USA-LS502-2007|2007|USA|1-3-4|L9B	2007	USA		1-3-4	L9B
KU501734|PRRSV2-USA-LS509-2007|2007|USA|1-3-4|L9B	2007	USA		1-3-4	L9B
KU501690|PRRSV2-USA-LS320-2008|2008|USA|1-3-4|L9B	2008	USA		1-3-4	L9B
KU501746|PRRSV2-USA-LS523-2008|2008|USA|1-3-4|L9B	2008	USA		1-3-4	L9B
KU501771|PRRSV2-USA-LS829-2012|2012|USA|1-3-4|L9B	2012	USA		1-3-4	L9B
KU501702|PRRSV2-USA-LS43-2013|2013|USA|1-3-4|L9B	2013	USA		1-3-4	L9B
KU501735|PRRSV2-USA-LS51-2013|2013|USA|1-3-4|L9B	2013	USA		1-3-4	L9B
DQ475694|PRRSV0001170|2002|USA_NE|1-4-2|L9C	2002	USA	NE	1-4-2	L9C
DQ475771|PRRSV0001259|2002|USA_OH|1-4-2|L9C	2002	USA	OH	1-4-2	L9C
OR293960|USA/IA/34731/2004|2004|USA_IA|1-4-4|L9C	2004	USA	IA	1-4-4	L9C
DQ478210|PRRSV0004325|2005|USA_NC|1-2-2|L9C	2005	USA	NC	1-2-2	L9C
EU757962|PRRSV0000007677|2005|USA_NC|1-4-2|L9C	2005	USA	NC	1-4-2	L9C
OR293961|USA/IA/10180/2005|2005|USA_IA|1-4-2|L9C	2005	USA	IA	1-4-2	L9C
OR293962|USA/IA/12110/2005|2005|USA_IA|1-4-2|L9C	2005	USA	IA	1-4-2	L9C
OR293963|USA/IA/10683-A/2006|2006|USA_IA|1-3-2|L9C	2006	USA	IA	1-3-2	L9C
OR293964|USA/NC/30485-F/2006|2006|USA_NC|1-4-2|L9C	2006	USA	NC	1-4-2	L9C
OR293965|USA/IA/7635/2007|2007|USA_IA|1-33-2|L9C	2007	USA	IA	1-33-2	L9C
OR293966|USA/IA/2885-A/2007|2007|USA_IA|1-4-2|L9C	2007	USA	IA	1-4-2	L9C
OR293967|USA/IL/8438-4/2007|2007|USA_IL|1-4-2|L9C	2007	USA	IL	1-4-2	L9C
KT902037|PRRSV2-USA-AP2908-2008|2008|USA|1-4-2|L9C	2008	USA		1-4-2	L9C
KU501960|PRRSV2-USA-CB391-2008|2008|USA|1-4-4|L9C	2008	USA		1-4-4	L9C
OR293968|USA/NC/9574/2008|2008|USA_NC|1-3-2|L9C	2008	USA	NC	1-3-2	L9C
OR293969|USA/IA/12358-43/2008|2008|USA_IA|1-4-2|L9C	2008	USA	IA	1-4-2	L9C
KT902335|PRRSV2-USA-AP26-2009|2009|USA|1-2-2|L9C	2009	USA		1-2-2	L9C
KT902371|PRRSV2-USA-AP62-2009|2009|USA|1-2-4|L9C	2009	USA		1-2-4	L9C
KT902396|PRRSV2-USA-AP88-2009|2009|USA|1-2-4|L9C	2009	USA		1-2-4	L9C
KT902452|PRRSV2-USA-AP146-2009|2009|USA|1-2-4|L9C	2009	USA		1-2-4	L9C
KT902576|PRRSV2-USA-AP2978-2009|2009|USA|1-2-2|L9C	2009	USA		1-2-2	L9C
MN498576|10056|2009|USA|1-2-2|L9C	2009	USA		1-2-2	L9C
MN502075|10005|2009|USA|1-2-2|L9C	2009	USA		1-2-2	L9C
MN500949|10280|2010|USA|1-2-2|L9C	2010	USA		1-2-2	L9C
OR293970|USA/IA/27070-43/2010|2010|USA_IA|1-2-2|L9C	2010	USA	IA	1-2-2	L9C
KT903059|PRRSV2-USA-AP641-2011|2011|USA|1-2-2|L9C	2011	USA		1-2-2	L9C
KT903294|PRRSV2-USA-AP877-2011|2011|USA|1-2-2|L9C	2011	USA		1-2-2	L9C
OR293971|USA/IA/15432-32/2011|2011|USA_IA|1-4-2|L9C	2011	USA	IA	1-4-2	L9C
OR293972|USA/IA/20246-37/2011|2011|USA_IA|1-2-2|L9C	2011	USA	IA	1-2-2	L9C
KT904402|PRRSV2-USA-AP1842-2013|2013|USA|1-2-2|L9C	2013	USA		1-2-2	L9C
EU755706|PRRSV0000002255|2003|USA_MN|1-7-2|L9D	2003	USA	MN	1-7-2	L9D
OR293973|USA/IA/4511/2003|2003|USA_IA|1-7-2|L9D	2003	USA	IA	1-7-2	L9D
EU755999|PRRSV0000004130|2005|USA_MN|1-7-2|L9D	2005	USA	MN	1-7-2	L9D
GQ468693|ciad041|2005|Mexico|1-2-2|L9D	2005	Mexico		1-2-2	L9D
GQ468708|ciad056|2006|Mexico|1-2-2|L9D	2006	Mexico		1-2-2	L9D
GQ468711|ciad060|2006|Mexico|1-4-2|L9D	2006	Mexico		1-4-2	L9D
GQ468732|ciad085|2006|Mexico|1-4-2|L9D	2006	Mexico		1-4-2	L9D
GQ468736|ciad089|2006|Mexico|1-4-2|L9D	2006	Mexico		1-4-2	L9D
EU759187|PRRSV2000000017|2007|USA_NC|1-4-2|L9D	2007	USA	NC	1-4-2	L9D
OR293974|USA/IA/23605/2007|2007|USA_IA|1-4-2|L9D	2007	USA	IA	1-4-2	L9D
KT902460|PRRSV2-USA-AP154-2009|2009|USA|1-4-2|L9D	2009	USA		1-4-2	L9D
KT902474|PRRSV2-USA-AP168-2009|2009|USA|1-7-2|L9D	2009	USA		1-7-2	L9D
MN499813|10004|2009|USA|1-3-7|L9D	2009	USA		1-3-7	L9D
MN500203|10154|2009|USA|1-4-2|L9D	2009	USA		1-4-2	L9D
OR293975|USA/IL/12279-D/2009|2009|USA_IL|1-4-2|L9D	2009	USA	IL	1-4-2	L9D
OR293976|USA/IA/31466-1/2009|2009|USA_IA|1-4-2|L9D	2009	USA	IA	1-4-2	L9D
KT902629|PRRSV2-USA-AP269-2010|2010|USA|1-3-2|L9D	2010	USA		1-3-2	L9D
KT902666|PRRSV2-USA-AP306-2010|2010|USA|1-2-4|L9D	2010	USA		1-2-4	L9D
KT902831|PRRSV2-USA-AP473-2010|2010|USA|1-4-2|L9D	2010	USA		1-4-2	L9D
MN499355|10297|2010|USA|1-4-2|L9D	2010	USA		1-4-2	L9D
MN501462|10278|2010|USA|1-4-2|L9D	2010	USA		1-4-2	L9D
MN501471|10426|2010|USA|1-3-2|L9D	2010	USA		1-3-2	L9D
KT903041|PRRSV2-USA-AP623-2011|2011|USA|1-2-4|L9D	2011	USA		1-2-4	L9D
MN500740|10596|2011|USA|1-6-2|L9D	2011	USA		1-6-2	L9D
OR293977|USA/IA/103/2011|2011|USA_IA|1-4-2|L9D	2011	USA	IA	1-4-2	L9D
OR293978|USA/IA/11073-A/2011|2011|USA_IA|1-4-2|L9D	2011	USA	IA	1-4-2	L9D
OR293979|USA/IA/11913-3/2011|2011|USA_IA|1-4-2|L9D	2011	USA	IA	1-4-2	L9D
OR293980|USA/IA/14418-8/2011|2011|USA_IA|1-4-2|L9D	2011	USA	IA	1-4-2	L9D
KT903657|PRRSV2-USA-AP1213-2012|2012|USA|1-2-2|L9D	2012	USA		1-2-2	L9D
KT903756|PRRSV2-USA-AP1312-2012|2012|USA|1-2-2|L9D	2012	USA		1-2-2	L9D
EU755954|PRRSV0000003918|1996|USA_MN|1-2-2|L9E	1996	USA	MN	1-2-2	L9E
AF176466|PRRSV44|1997|USA_IL|1-4-2|L9E	1997	USA	IL	1-4-2	L9E
DQ477362|PRRSV0003245|1998|USA_MN|1-4-1|L9E	1998	USA	MN	1-4-1	L9E
DQ477375|PRRSV0003264|1998|USA_MN|1-4-2|L9E	1998	USA	MN	1-4-2	L9E
